,Name,Address,Alcohol Served,Smoking Permitted,Price Range,Ambiance,Area,Rating,Cuisine Variety,Operating Hours,Days,gps_link
80,puesto de tacos,"esquina santos degollado y leon guzman, s.l.p., s.l.p., mexico",no,no,low,familiar,open,medium,Mexican,09:00-12:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1473922,-100.983092"
131,El Rinc�n de San Francisco,"Universidad 169, San Luis Potosi, San Luis Potosi, Mexico",yes,yes,medium,familiar,open,high,Mexican,18:00-21:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1497088,-100.9760928"
345,shi ro ie,tamaulipas,yes,yes,high,familiar,open,high,Japanese,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1499013,-100.9937793"
375,Abondance Restaurante Bar,"Industrias 908 Valle Dorado, San Luis Potosi, SLP, Mexico",yes,no,low,familiar,closed,medium,Bar,09:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.140129,-100.944872"
553,Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Fast_Food,08:00-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955"
560,Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,medium,Fast_Food,08:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955"
592,Tortas y hamburguesas el gordo,"Ricardo B. Anaya, San Luis Potosi, San Luis Potosi, Mexico",no,no,low,familiar,closed,medium,Burgers,10:30-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1430781,-100.9354788"
639,Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273"
641,Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273"
657,Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273"
671,rockabilly ,"agustin de iturbide, san luis potosi, san luis potosi, mexico",yes,yes,low,quiet,closed,high,Bar,16:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1500193,-100.9799203"
691,Unicols Pizza,"Plaza del Carmen, San Luis Potosi, San Luis Potosi, Mexico",yes,no,low,familiar,closed,high,Italian,10:30-22:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1513782,-100.9746337"
748,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
772,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
785,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
852,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
897,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,medium,International,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
935,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
943,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
953,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
1033,Restaurant and Bar and Clothesline Carlos N Charlies,"Domingo 10 711 El Empleado, Cuernavaca, Morelos, Mexico",yes,yes,high,familiar,closed,medium,Bar,13:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=18.948657,-99.235361"
1232,Mariscos Tia Licha,"avenida salvador montiel , cuernavaca, morelos, mexico",no,no,medium,familiar,closed,high,Family,10:00-19:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=18.9257734,-99.2326355"
1267,Restaurante y Pescaderia Tampico,"Ricardo B. Anaya 2700 Estrella de Oriente, San Luis Potosi, SLP, Mexico",no,no,high,familiar,closed,low,Seafood,07:00-19:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.140626,-100.915657"
1409,La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,low,Cafeteria,11:00-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861"
