Name,Address,Alcohol Served,Smoking Permitted,Price Range,Ambiance,Area,Rating,Cuisine Variety,Operating Hours,Days,gps_link,restaurant_feature
puesto de tacos,"esquina santos degollado y leon guzman, s.l.p., s.l.p., mexico",no,no,low,familiar,open,medium,Mexican,09:00-12:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1473922,-100.983092","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
El Rinc�n de San Francisco,"Universidad 169, San Luis Potosi, San Luis Potosi, Mexico",yes,yes,medium,familiar,open,high,Mexican,18:00-21:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1497088,-100.9760928","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
shi ro ie,tamaulipas,yes,yes,high,familiar,open,high,Japanese,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1499013,-100.9937793","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Abondance Restaurante Bar,"Industrias 908 Valle Dorado, San Luis Potosi, SLP, Mexico",yes,no,low,familiar,closed,medium,Bar,09:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.140129,-100.944872","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Fast_Food,08:00-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,medium,Fast_Food,08:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Tortas y hamburguesas el gordo,"Ricardo B. Anaya, San Luis Potosi, San Luis Potosi, Mexico",no,no,low,familiar,closed,medium,Burgers,10:30-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1430781,-100.9354788","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
